Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,17/02/2019,11:15,Ewallet,172.8,4.761904762,8.64,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,03/02/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,22/03/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,25/01/2019,19:48,Cash,441.8,4.761904762,22.09,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,15/03/2019,15:36,Cash,224.01,4.761904762,11.2005,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,25/02/2019,19:39,Credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,28/01/2019,12:43,Cash,702.63,4.761904762,35.1315,4.5
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,15/03/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,15/01/2019,17:17,Ewallet,547.92,4.761904762,27.396,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,23/03/2019,13:24,Ewallet,439.36,4.761904762,21.968,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,03/03/2019,13:01,Cash,240.96,4.761904762,12.048,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,17/01/2019,18:45,Ewallet,86.72,4.761904762,4.336,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,02/02/2019,10:11,Cash,112.22,4.761904762,5.611,6.3
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,16/03/2019,19:47,Cash,30.74,4.761904762,1.537,7.2
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,27/02/2019,17:24,Credit card,510.21,4.761904762,25.5105,8.4
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,19/03/2019,17:08,Ewallet,826.3,4.761904762,41.315,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,02/03/2019,10:19,Cash,639.8,4.761904762,31.99,9.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,22/03/2019,14:42,Ewallet,71.48,4.761904762,3.574,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,25/01/2019,15:46,Credit card,15.43,4.761904762,0.7715,6.1
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,28/02/2019,19:01,Cash,687.84,4.761904762,34.392,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,27/03/2019,11:26,Cash,88.68,4.761904762,4.434,5.8
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,20/01/2019,15:55,Cash,723.5,4.761904762,36.175,5.4
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,15/02/2019,17:47,Credit card,74.22,4.761904762,3.711,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,24/02/2019,10:55,Ewallet,334.38,4.761904762,16.719,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,02/03/2019,13:40,Ewallet,495.63,4.761904762,24.7815,10
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,14/02/2019,14:35,Cash,302.96,4.761904762,15.148,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,13/03/2019,16:40,Cash,158.7,4.761904762,7.935,5.8
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,24/01/2019,10:04,Cash,787.7,4.761904762,39.385,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,02/02/2019,18:50,Cash,18.33,4.761904762,0.9165,4.3
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,22/01/2019,10:55,Ewallet,672.03,4.761904762,33.6015,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,13/01/2019,17:04,Credit card,416.5,4.761904762,20.825,5.4
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,22/01/2019,18:56,Cash,101.9,4.761904762,5.095,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,21/01/2019,14:42,Credit card,595.14,4.761904762,29.757,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,26/01/2019,19:56,Ewallet,290.04,4.761904762,14.502,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,23/01/2019,18:37,Ewallet,154,4.761904762,7.7,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,23/02/2019,18:45,Credit card,321.44,4.761904762,16.072,8.3
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,25/03/2019,10:23,Cash,382.6,4.761904762,19.13,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,27/03/2019,20:35,Credit card,345.66,4.761904762,17.283,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,01/02/2019,16:57,Cash,42.47,4.761904762,2.1235,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,27/02/2019,17:55,Cash,461.94,4.761904762,23.097,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,23/01/2019,10:25,Cash,189.52,4.761904762,9.476,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,26/01/2019,19:54,Ewallet,448.6,4.761904762,22.43,8.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,29/03/2019,10:25,Ewallet,878.7,4.761904762,43.935,5.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,23/03/2019,10:16,Ewallet,158.25,4.761904762,7.9125,9.3
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,26/03/2019,19:20,Cash,48.71,4.761904762,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,03/01/2019,13:22,Cash,706.95,4.761904762,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,02/01/2019,11:27,Cash,207.63,4.761904762,10.3815,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,28/03/2019,16:44,Cash,349.56,4.761904762,17.478,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,19/03/2019,18:19,Cash,212.45,4.761904762,10.6225,8
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,22/03/2019,20:19,Cash,372.78,4.761904762,18.639,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,24/03/2019,10:43,Cash,305.82,4.761904762,15.291,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,03/03/2019,14:30,Cash,819.7,4.761904762,40.985,9.2
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,15/02/2019,12:44,Cash,509.88,4.761904762,25.494,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,19/01/2019,20:07,Ewallet,522.63,4.761904762,26.1315,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,02/01/2019,20:31,Credit card,727.11,4.761904762,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,03/02/2019,13:01,Credit card,81.06,4.761904762,4.053,7.1
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,16/01/2019,15:26,Ewallet,51.36,4.761904762,2.568,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,02/02/2019,20:48,Ewallet,109.6,4.761904762,5.48,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,20/01/2019,20:38,Ewallet,106.88,4.761904762,5.344,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,14/02/2019,17:03,Credit card,796.48,4.761904762,39.824,5.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,13/03/2019,19:52,Credit card,511.28,4.761904762,25.564,4.6
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,27/01/2019,13:26,Cash,161.25,4.761904762,8.0625,9
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,25/01/2019,13:18,Cash,277.34,4.761904762,13.867,7.5
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,17/02/2019,14:40,Credit card,524.7,4.761904762,26.235,8.8
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,18/02/2019,19:39,Cash,270.66,4.761904762,13.533,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,18/01/2019,20:59,Credit card,131.55,4.761904762,6.5775,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,18/02/2019,15:39,Cash,206.52,4.761904762,10.326,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,16/02/2019,12:21,Cash,519.1,4.761904762,25.955,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,609,16/03/2019,19:25,Ewallet,580,4.761904762,29,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,23/01/2019,13:00,Credit card,898,4.761904762,44.9,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,25/01/2019,13:48,Cash,905,4.761904762,45.25,8.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,22/02/2019,10:36,Credit card,30.41,4.761904762,1.5205,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,21/01/2019,16:37,Ewallet,467.7,4.761904762,23.385,8
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,19/03/2019,12:46,Credit card,264.56,4.761904762,13.228,5.6
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,27/03/2019,13:48,Credit card,259.68,4.761904762,12.984,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,23/03/2019,19:20,Credit card,366.16,4.761904762,18.308,4.8
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,29/01/2019,11:56,Credit card,749.16,4.761904762,37.458,7.4
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,28/01/2019,13:05,Cash,647.76,4.761904762,32.388,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,20/02/2019,15:55,Credit card,461.45,4.761904762,23.0725,9
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,30/03/2019,14:43,Ewallet,874.98,4.761904762,43.749,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,27/03/2019,19:18,Ewallet,560.34,4.761904762,28.017,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,362.712,19/01/2019,19:39,Credit card,345.44,4.761904762,17.272,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,25/02/2019,16:21,Cash,63.69,4.761904762,3.1845,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,13/03/2019,19:44,Credit card,320.53,4.761904762,16.0265,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,30/01/2019,19:42,Ewallet,152.8,4.761904762,7.64,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,20/02/2019,15:24,Credit card,399,4.761904762,19.95,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.588,25/02/2019,14:12,Ewallet,340.56,4.761904762,17.028,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,16/01/2019,13:32,Cash,955.8,4.761904762,47.79,4.8
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,19/01/2019,16:31,Cash,307.68,4.761904762,15.384,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,02/01/2019,15:10,Credit card,486.64,4.761904762,24.332,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,01/03/2019,11:36,Ewallet,350.05,4.761904762,17.5025,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,26/01/2019,12:45,Credit card,400.25,4.761904762,20.0125,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,03/03/2019,19:17,Cash,166.8,4.761904762,8.34,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,19/01/2019,17:34,Credit card,317.34,4.761904762,15.867,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,18/01/2019,12:04,Ewallet,158.32,4.761904762,7.916,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,21/03/2019,16:21,Ewallet,304.56,4.761904762,15.228,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.228,03/03/2019,17:01,Credit card,177.36,4.761904762,8.868,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,13/02/2019,10:50,Credit card,157.57,4.761904762,7.8785,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.444,23/03/2019,19:16,Ewallet,443.28,4.761904762,22.164,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,28/01/2019,16:47,Ewallet,260.4,4.761904762,13.02,9.9
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,323.148,23/01/2019,11:51,Cash,307.76,4.761904762,15.388,7.7
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,23/03/2019,10:55,Ewallet,155,4.761904762,7.75,8
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,288.204,25/01/2019,15:00,Ewallet,274.48,4.761904762,13.724,5.7
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,03/03/2019,19:00,Ewallet,755.92,4.761904762,37.796,7.5
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,28/01/2019,20:50,Credit card,279.24,4.761904762,13.962,5.9
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,15/01/2019,13:41,Ewallet,147.04,4.761904762,7.352,4.6
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,829.71,16/03/2019,19:08,Cash,790.2,4.761904762,39.51,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,26/01/2019,20:23,Ewallet,102.2,4.761904762,5.11,5.7
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,19/03/2019,11:30,Credit card,163.55,4.761904762,8.1775,9.9
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,13/01/2019,19:30,Cash,74.29,4.761904762,3.7145,5
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,91.77,26/03/2019,18:03,Cash,87.4,4.761904762,4.37,4.9
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,23/03/2019,10:13,Ewallet,25.29,4.761904762,1.2645,6.1
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,17.8475,374.7975,17/02/2019,19:57,Credit card,356.95,4.761904762,17.8475,5.5
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,120.645,29/01/2019,10:01,Credit card,114.9,4.761904762,5.745,6.8
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,11.498,241.458,15/03/2019,11:57,Cash,229.96,4.761904762,11.498,6.6
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,14/01/2019,10:02,Cash,429.87,4.761904762,21.4935,9.8
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,15/02/2019,12:42,Credit card,88.85,4.761904762,4.4425,5.4
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,01/03/2019,12:02,Ewallet,207.27,4.761904762,10.3635,7.9
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,14.265,299.565,18/03/2019,17:38,Ewallet,285.3,4.761904762,14.265,7.8
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,28/03/2019,13:41,Ewallet,91.11,4.761904762,4.5555,5.1
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,03/02/2019,19:42,Credit card,897.57,4.761904762,44.8785,6.5
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,25/01/2019,20:24,Ewallet,236.07,4.761904762,11.8035,5.9
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,881.307,16/01/2019,18:08,Cash,839.34,4.761904762,41.967,8.8
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,20/03/2019,19:17,Ewallet,461.8,4.761904762,23.09,4.9
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,22/03/2019,15:05,Credit card,18.28,4.761904762,0.914,8.3
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,6.1925,130.0425,24/03/2019,18:27,Cash,123.85,4.761904762,6.1925,8.5
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,14.196,298.116,21/02/2019,16:55,Cash,283.92,4.761904762,14.196,5.5
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13.605,285.705,31/01/2019,13:44,Ewallet,272.1,4.761904762,13.605,6.1
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,2.9525,62.0025,17/02/2019,18:06,Cash,59.05,4.761904762,2.9525,9.4
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,0.627,13.167,21/02/2019,12:38,Cash,12.54,4.761904762,0.627,8.2
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,90.825,20/03/2019,15:56,Cash,86.5,4.761904762,4.325,6.2
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,31.2165,655.5465,26/01/2019,19:14,Ewallet,624.33,4.761904762,31.2165,4
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,7.412,155.652,31/01/2019,16:24,Ewallet,148.24,4.761904762,7.412,9.7
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7,6,27.21,571.41,26/02/2019,10:52,Cash,544.2,4.761904762,27.21,5.3
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,8.137,170.877,26/01/2019,19:28,Cash,162.74,4.761904762,8.137,6.5
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4,14.764,310.044,21/02/2019,18:31,Cash,295.28,4.761904762,14.764,6.7
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,9.314,195.594,20/01/2019,18:09,Ewallet,186.28,4.761904762,9.314,4.1
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,4.3525,91.4025,28/01/2019,15:16,Credit card,87.05,4.761904762,4.3525,4.9
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,3.305,69.405,03/02/2019,19:26,Cash,66.1,4.761904762,3.305,4.3
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,9.32,195.72,28/02/2019,18:37,Credit card,186.4,4.761904762,9.32,6
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,02/02/2019,18:42,Credit card,750.96,4.761904762,37.548,8.3
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,01/01/2019,14:47,Cash,380.72,4.761904762,19.036,5.7
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,4.485,94.185,23/01/2019,14:04,Ewallet,89.7,4.761904762,4.485,6.8
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.571,536.991,14/01/2019,19:06,Credit card,511.42,4.761904762,25.571,4.2
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,20.9475,439.8975,02/02/2019,15:34,Ewallet,418.95,4.761904762,20.9475,6.4
662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories,35.19,10,17.595,369.495,17/03/2019,19:06,Credit card,351.9,4.761904762,17.595,8.4
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.439,30.219,03/02/2019,19:44,Credit card,28.78,4.761904762,1.439,7.2
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,99.75,16/03/2019,11:22,Cash,95,4.761904762,4.75,5.2
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.524,137.004,29/01/2019,14:12,Cash,130.48,4.761904762,6.524,9
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.3175,69.6675,31/01/2019,10:46,Credit card,66.35,4.761904762,3.3175,9.7
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,135.45,13/02/2019,12:38,Ewallet,129,4.761904762,6.45,6.5
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.777,709.317,19/03/2019,13:25,Ewallet,675.54,4.761904762,33.777,6.2
655-85-5130,B,Mandalay,Member,Female,Fashion accessories,38.3,4,7.66,160.86,13/03/2019,19:22,Cash,153.2,4.761904762,7.66,5.7
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1,2.7225,57.1725,26/02/2019,19:24,Ewallet,54.45,4.761904762,2.7225,7.9
808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,7.094,148.974,14/03/2019,17:22,Credit card,141.88,4.761904762,7.094,6.9
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.352,01/03/2019,19:17,Cash,42.24,4.761904762,2.112,9.7
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.203,25.263,27/01/2019,15:51,Cash,24.06,4.761904762,1.203,5.1
477-24-6490,B,Mandalay,Normal,Female,Health and beauty,99.71,6,29.913,628.173,26/02/2019,16:52,Ewallet,598.26,4.761904762,29.913,7.9
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.084,400.764,02/02/2019,13:23,Ewallet,381.68,4.761904762,19.084,6.4
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories,70.99,10,35.495,745.395,20/03/2019,16:28,Cash,709.9,4.761904762,35.495,5.7
828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,462.21,20/03/2019,19:57,Credit card,440.2,4.761904762,22.01,9.6
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,587.664,15/02/2019,17:01,Credit card,559.68,4.761904762,27.984,6.4
498-41-1961,B,Mandalay,Normal,Male,Health and beauty,66.68,5,16.67,350.07,20/02/2019,18:01,Cash,333.4,4.761904762,16.67,7.6
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,3.743,78.603,24/03/2019,14:49,Cash,74.86,4.761904762,3.743,6.9
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.6875,224.4375,31/01/2019,12:02,Cash,213.75,4.761904762,10.6875,9.5
